player_id,year,team,position,age
0d9e7ab3-95ea-5dc9-95ee-f92c4601f746,1998,Saudi Arabia,Goalkeeper,24.0
c126933e-1764-54f2-a43b-89c6583d464a,2022,Saudi Arabia,Goalkeeper,22.0
684cd8f1-270c-5f9a-b079-8d5c86b745ce,2006,Saudi Arabia,Defender,26.0
5a74fee6-05c9-590b-92da-a8f91f3b7a91,1994,Saudi Arabia,Midfielder,29.0
284b7b90-c5a6-5847-bf4f-a096816455e1,2006,Saudi Arabia,Defender,19.0
b03b91e9-38f0-54d7-b224-1669c07272fc,2018,Saudi Arabia,Defender,26.0
b03b91e9-38f0-54d7-b224-1669c07272fc,2022,Saudi Arabia,Defender,30.0
f0cf6168-dc54-56f6-8bf9-e3f9bc140b0e,2018,Saudi Arabia,Defender,29.0
f0cf6168-dc54-56f6-8bf9-e3f9bc140b0e,2022,Saudi Arabia,Defender,33.0
73fde2d9-62c2-5f6e-a835-060306b7d2a3,1982,Kuwait,Forward,20.0
948dfd9e-dbb2-5543-806b-e391d03da901,1982,Kuwait,Forward,22.0
7802afa5-d84a-59ec-bd0f-fa1cce6415a2,2022,Saudi Arabia,Forward,22.0
1a2ff9a7-a1dc-5b4a-87ad-8e3e0834532d,1982,Kuwait,Forward,25.0
1566f86a-e8c1-541b-9cfc-5ce8d0bcecf2,1994,Saudi Arabia,Defender,26.0
14958643-cc31-5955-983f-0d8ae446f7ad,2022,Saudi Arabia,Midfielder,24.0
887f45c6-eab1-55f1-b636-edde8636b893,2018,Saudi Arabia,Midfielder,27.0
887f45c6-eab1-55f1-b636-edde8636b893,2022,Saudi Arabia,Midfielder,31.0
de98a3a1-0382-5d96-99ae-4399d9ce6f97,1994,Saudi Arabia,Goalkeeper,22.0
de98a3a1-0382-5d96-99ae-4399d9ce6f97,2002,Saudi Arabia,Goalkeeper,30.0
de98a3a1-0382-5d96-99ae-4399d9ce6f97,2006,Saudi Arabia,Goalkeeper,34.0
de98a3a1-0382-5d96-99ae-4399d9ce6f97,1998,Saudi Arabia,Goalkeeper,26.0
025bf1ef-c20c-5839-9a19-49cb4bd19779,2002,Saudi Arabia,Defender,26.0
025bf1ef-c20c-5839-9a19-49cb4bd19779,2006,Saudi Arabia,Defender,30.0
