year,team,position,avg_age_p_pos,avg_age
1970,Italy,Goalkeeper,30.0,27.363636363636363
1970,Italy,Midfielder,26.166666666666668,27.363636363636363
1970,Mexico,Defender,26.571428571428573,27.0
1970,Mexico,Forward,26.4,27.0
1970,Mexico,Goalkeeper,27.0,27.0
1970,Mexico,Midfielder,27.857142857142858,27.0
1970,Morocco,Defender,25.833333333333332,25.210526315789473
1970,Morocco,Forward,24.0,25.210526315789473
1970,Morocco,Goalkeeper,27.333333333333332,25.210526315789473
1970,Morocco,Midfielder,24.333333333333332,25.210526315789473
1970,Peru,Defender,28.666666666666668,26.454545454545453
1970,Peru,Forward,24.0,26.454545454545453
1970,Peru,Goalkeeper,27.333333333333332,26.454545454545453
1970,Peru,Midfielder,26.0,26.454545454545453
1970,Romania,Defender,26.75,25.5
1970,Romania,Forward,24.4,25.5
1970,Romania,Goalkeeper,26.333333333333332,25.5
1970,Romania,Midfielder,24.333333333333332,25.5
1970,Soviet Union,Defender,26.714285714285715,27.045454545454547
1970,Soviet Union,Forward,25.666666666666668,27.045454545454547
1970,Soviet Union,Goalkeeper,31.0,27.045454545454547
1970,Soviet Union,Midfielder,26.833333333333332,27.045454545454547
1970,Sweden,Defender,27.142857142857142,26.681818181818183
1970,Sweden,Forward,26.0,26.681818181818183
1970,Sweden,Goalkeeper,27.0,26.681818181818183
1970,Sweden,Midfielder,26.4,26.681818181818183
1970,Uruguay,Defender,26.875,25.954545454545453
1970,Uruguay,Forward,24.2,25.954545454545453
1970,Uruguay,Goalkeeper,24.0,25.954545454545453
1970,Uruguay,Midfielder,27.166666666666668,25.954545454545453
1970,West Germany,Defender,27.333333333333332,27.863636363636363
1970,West Germany,Forward,28.428571428571427,27.863636363636363
1970,West Germany,Goalkeeper,28.0,27.863636363636363
1970,West Germany,Midfielder,28.0,27.863636363636363
1974,Argentina,Defender,27.0,26.772727272727273
1974,Argentina,Forward,26.0,26.772727272727273
1974,Argentina,Goalkeeper,28.0,26.772727272727273
1974,Argentina,Midfielder,26.571428571428573,26.772727272727273
1974,Australia,Defender,28.0,27.5
1974,Australia,Forward,26.0,27.5
1974,Australia,Goalkeeper,25.333333333333332,27.5
