year,team,opponent_team,result,team_conf,opponent_conf
1930,Romania,Uruguay,Loss,UEFA,CONMEBOL
1958,West Germany,Argentina,Win,UEFA,CONMEBOL
2022,Germany,Spain,Draw,UEFA,UEFA
2010,Australia,Germany,Loss,AFC,UEFA
1930,Belgium,Paraguay,Loss,UEFA,CONMEBOL
1982,Peru,Poland,Loss,CONMEBOL,UEFA
1958,Czechoslovakia,Northern Ireland,Loss,UEFA,UEFA
2014,Algeria,South Korea,Win,CAF,AFC
1986,Canada,Hungary,Loss,CONCACAF,UEFA
1986,Uruguay,Scotland,Draw,CONMEBOL,UEFA
1970,Uruguay,Sweden,Loss,CONMEBOL,UEFA
1998,Mexico,South Korea,Win,CONCACAF,AFC
2002,Senegal,Denmark,Draw,CAF,UEFA
1950,Yugoslavia,Brazil,Loss,UEFA,CONMEBOL
1990,Yugoslavia,West Germany,Loss,UEFA,UEFA
2018,Spain,Portugal,Draw,UEFA,UEFA
2022,Australia,Argentina,Loss,AFC,CONMEBOL
1930,Argentina,Uruguay,Loss,CONMEBOL,CONMEBOL
1994,Cameroon,Russia,Loss,CAF,UEFA
1930,Belgium,United States,Loss,UEFA,CONCACAF
1954,Czechoslovakia,Uruguay,Loss,UEFA,CONMEBOL
2018,Peru,Australia,Win,CONMEBOL,AFC
2002,Paraguay,Spain,Loss,CONMEBOL,UEFA
1982,Yugoslavia,Spain,Loss,UEFA,UEFA
1998,South Korea,Belgium,Draw,AFC,UEFA
2022,Wales,United States,Draw,UEFA,CONCACAF
2014,Costa Rica,Uruguay,Win,CONCACAF,CONMEBOL
1990,Costa Rica,Sweden,Win,CONCACAF,UEFA
1970,Italy,Brazil,Loss,UEFA,CONMEBOL
1994,Belgium,Germany,Loss,UEFA,UEFA
1994,Netherlands,Belgium,Loss,UEFA,UEFA
1962,Colombia,Uruguay,Loss,CONMEBOL,CONMEBOL
1930,Mexico,Argentina,Loss,CONCACAF,CONMEBOL
2006,Serbia and Montenegro,Argentina,Loss,UEFA,CONMEBOL
1994,Germany,Bulgaria,Loss,UEFA,UEFA
1998,Chile,Brazil,Loss,CONMEBOL,CONMEBOL
2014,France,Ecuador,Draw,UEFA,CONMEBOL
2010,United States,Slovenia,Draw,CONCACAF,UEFA
1930,Mexico,Chile,Loss,CONCACAF,CONMEBOL
2014,Cameroon,Mexico,Loss,CAF,CONCACAF
1994,Greece,Bulgaria,Loss,UEFA,UEFA
1982,France,Poland,Loss,UEFA,UEFA
1994,Colombia,Switzerland,Win,CONMEBOL,UEFA
1990,Colombia,West Germany,Draw,CONMEBOL,UEFA
2010,Japan,Netherlands,Loss,AFC,UEFA
2002,Uruguay,Senegal,Draw,CONMEBOL,CAF
2006,Iran,Portugal,Loss,AFC,UEFA
1962,Italy,West Germany,Draw,UEFA,UEFA
1998,Norway,Scotland,Draw,UEFA,UEFA
1990,Austria,Italy,Loss,UEFA,UEFA
1934,Romania,Czechoslovakia,Loss,UEFA,UEFA
2010,South Korea,Uruguay,Loss,AFC,CONMEBOL
1982,New Zealand,Soviet Union,Loss,OFC,UEFA
1966,Bulgaria,Brazil,Loss,UEFA,CONMEBOL
2002,Paraguay,Germany,Loss,CONMEBOL,UEFA
1986,Denmark,Scotland,Win,UEFA,UEFA
1994,Bulgaria,Nigeria,Loss,UEFA,CAF
2014,Uruguay,Colombia,Loss,CONMEBOL,CONMEBOL
2006,Poland,Germany,Loss,UEFA,UEFA
2022,Senegal,Qatar,Win,CAF,AFC
2014,Chile,Spain,Win,CONMEBOL,UEFA
1974,Chile,West Germany,Loss,CONMEBOL,UEFA
1994,Greece,Argentina,Loss,UEFA,CONMEBOL
2010,Japan,Paraguay,Loss,AFC,CONMEBOL
1978,Peru,Argentina,Loss,CONMEBOL,CONMEBOL
2006,Tunisia,Ukraine,Loss,CAF,UEFA
2022,Senegal,Ecuador,Win,CAF,CONMEBOL
2018,Australia,Denmark,Draw,AFC,UEFA
1998,Mexico,Belgium,Draw,CONCACAF,UEFA
2014,Bosnia and Herzegovina,Nigeria,Loss,UEFA,CAF
2010,Spain,Paraguay,Win,UEFA,CONMEBOL
2002,Brazil,England,Win,CONMEBOL,UEFA
1966,Hungary,Soviet Union,Loss,UEFA,UEFA
1990,Egypt,England,Loss,CAF,UEFA
1994,Spain,Bolivia,Win,UEFA,CONMEBOL
2014,Argentina,Nigeria,Win,CONMEBOL,CAF
1998,Croatia,Romania,Win,UEFA,UEFA
2022,Australia,Tunisia,Win,AFC,CAF
1986,Brazil,Northern Ireland,Win,CONMEBOL,UEFA
2022,Australia,France,Loss,AFC,UEFA
2002,Ecuador,Mexico,Loss,CONMEBOL,CONCACAF
2006,France,Italy,Loss,UEFA,UEFA
1934,Sweden,Germany,Loss,UEFA,UEFA
1950,England,United States,Loss,UEFA,CONCACAF
1978,Mexico,West Germany,Loss,CONCACAF,UEFA
2010,Slovakia,New Zealand,Draw,UEFA,OFC
1994,Italy,Bulgaria,Win,UEFA,UEFA
1990,England,Italy,Loss,UEFA,UEFA
1986,Paraguay,Mexico,Draw,CONMEBOL,CONCACAF
1994,United States,Brazil,Loss,CONCACAF,CONMEBOL
1982,Cameroon,Italy,Draw,CAF,UEFA
2022,Morocco,Belgium,Win,CAF,UEFA
1982,Algeria,West Germany,Win,CAF,UEFA
1998,Norway,Morocco,Draw,UEFA,CAF
1930,Bolivia,Yugoslavia,Loss,CONMEBOL,UEFA
1970,Israel,Italy,Draw,UEFA,UEFA
1978,Poland,Brazil,Loss,UEFA,CONMEBOL
2018,England,Tunisia,Win,UEFA,CAF
1982,West Germany,Italy,Loss,UEFA,UEFA
1982,Kuwait,England,Loss,AFC,UEFA
1982,France,Austria,Win,UEFA,UEFA
1998,Jamaica,Japan,Win,CONCACAF,AFC
1954,Czechoslovakia,Austria,Loss,UEFA,UEFA
2002,Spain,South Africa,Win,UEFA,CAF
2022,Canada,Belgium,Loss,CONCACAF,UEFA
2022,Saudi Arabia,Poland,Loss,AFC,UEFA
1958,Scotland,Yugoslavia,Draw,UEFA,UEFA
1954,South Korea,Turkey,Loss,AFC,UEFA
1958,Wales,Sweden,Draw,UEFA,UEFA
1950,Sweden,Uruguay,Loss,UEFA,CONMEBOL
1954,Mexico,France,Loss,CONCACAF,UEFA
1986,Morocco,England,Draw,CAF,UEFA
1990,Italy,Republic of Ireland,Win,UEFA,UEFA
2002,Turkey,Senegal,Win,UEFA,CAF
2014,Belgium,Argentina,Loss,UEFA,CONMEBOL
2014,Nigeria,Iran,Draw,CAF,AFC
2022,Netherlands,Senegal,Win,UEFA,CAF
1994,Bulgaria,Sweden,Loss,UEFA,UEFA
2002,Belgium,Tunisia,Draw,UEFA,CAF
2002,Japan,Tunisia,Win,AFC,CAF
2002,Germany,Cameroon,Win,UEFA,CAF
1998,Croatia,Japan,Win,UEFA,AFC
1998,Denmark,France,Loss,UEFA,UEFA
1990,Egypt,Netherlands,Draw,CAF,UEFA
1974,Scotland,Zaire,Win,UEFA,CAF
1958,Austria,Soviet Union,Loss,UEFA,UEFA
1966,Italy,Soviet Union,Loss,UEFA,UEFA
2010,Ghana,Serbia,Win,CAF,UEFA
2014,Switzerland,Argentina,Loss,UEFA,CONMEBOL
1986,Spain,Northern Ireland,Win,UEFA,UEFA
2010,Denmark,Netherlands,Loss,UEFA,UEFA
1970,Israel,Uruguay,Loss,UEFA,CONMEBOL
